sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
105,Britannia Biscuits,Flour,Britannia,Frozen Foods,"Milk, Sugar, Culture",Additive,No,None,100g per day,No,No,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
106,Cadbury Dairy Milk,Potatoes,Amul,Frozen Foods,"Milk, Sugar, Culture",Protein,Yes,High Sodium,100g per day,No,Limited,No,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,USA,7 days from packing
107,Britannia Biscuits,Potatoes,Nestle,Confectionery,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Chemical Additives,100g per day,Yes (Occasional),Limited,Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Australia,5 days from packing
108,Cadbury Dairy Milk,Flour,Lay's,Confectionery,"Milk Chocolate, Sugar",Dairy,Yes,Allergen Content,100g per day,Yes (Occasional),No,Limited,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,2,2,India,5 days from packing
109,Coca-Cola Classic,Milk,Lay's,Frozen Foods,"Milk Chocolate, Sugar",Carbohydrate,Yes,Allergen Content,200g per day,No,Yes (Occasional),Yes (Occasional),High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
110,Lay's Chips,Potatoes,Britannia,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,Yes,None,100g per day,No,Yes (Occasional),No,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
111,Lay's Chips,Flour,Coca-Cola,Dairy Products,"Potatoes, Vegetable Oil, Salt",Fat,Yes,High Sodium,As Desired,No,Yes,Yes (Occasional),High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
112,Epigamia Greek Yogurt,Carbonated Water,Coca-Cola,Snacks,"Flour, Butter, Sugar",Protein,Yes,Chemical Additives,200g per day,Yes,Limited,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,USA,14 days from packing
113,McCain French Fries,Milk,Amul,Dairy Products,"Potatoes, Oil, Salt",Sweetener,No,Allergen Content,Moderate Intake,Limited,Limited,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,3,India,5 days from packing
114,Epigamia Greek Yogurt,Milk,Britannia,Snacks,"Milk, Sugar, Culture",Dairy,No,None,Moderate Intake,Limited,Yes,Limited,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
115,Epigamia Greek Yogurt,Potatoes,Haldiram's,Confectionery,"Milk, Sugar, Culture",Protein,Yes,High Sodium,100g per day,Limited,No,Limited,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,USA,5 days from packing
116,Epigamia Greek Yogurt,Milk Chocolate,Haldiram's,Confectionery,"Milk, Sugar, Culture",Additive,Yes,High Sodium,As Desired,Limited,Limited,No,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,USA,7 days from packing
117,Britannia Biscuits,Flour,Haldiram's,Confectionery,"Carbonated Water, Sugar",Protein,Yes,Chemical Additives,200g per day,No,Limited,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,USA,7 days from packing
118,Britannia Biscuits,Potatoes,Haldiram's,Snacks,"Milk Chocolate, Sugar",Sweetener,Yes,Chemical Additives,As Desired,No,No,Yes,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,2,USA,7 days from packing
119,Cadbury Dairy Milk,Flour,Coca-Cola,Beverages,"Milk, Sugar, Culture",Fat,Yes,Allergen Content,Moderate Intake,No,Yes (Occasional),Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
120,Epigamia Greek Yogurt,Potatoes,Nestle,Snacks,"Potatoes, Oil, Salt",Protein,No,Chemical Additives,Moderate Intake,No,Yes,Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
121,Britannia Biscuits,Potatoes,Britannia,Beverages,"Flour, Butter, Sugar",Additive,Yes,Chemical Additives,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
122,Coca-Cola Classic,Potatoes,Nestle,Dairy Products,"Potatoes, Oil, Salt",Dairy,Yes,None,200g per day,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
123,Epigamia Greek Yogurt,Milk,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Carbohydrate,No,Allergen Content,Moderate Intake,Limited,Yes (Occasional),No,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,Australia,5 days from packing
124,Coca-Cola Classic,Milk Chocolate,Nestle,Dairy Products,"Milk Chocolate, Sugar",Fat,Yes,None,Moderate Intake,Limited,Yes,Limited,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
125,McCain French Fries,Carbonated Water,Britannia,Dairy Products,"Carbonated Water, Sugar",Protein,Yes,Allergen Content,100g per day,Yes (Occasional),No,Yes,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
126,McCain French Fries,Milk,Coca-Cola,Beverages,"Carbonated Water, Sugar",Sweetener,No,Chemical Additives,Moderate Intake,No,No,No,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,India,7 days from packing
127,Britannia Biscuits,Carbonated Water,Amul,Beverages,"Milk Chocolate, Sugar",Fat,Yes,High Sodium,200g per day,Yes,Yes,Yes,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,2,Mexico,7 days from packing
128,Coca-Cola Classic,Milk,Amul,Beverages,"Flour, Butter, Sugar",Additive,Yes,High Sodium,100g per day,Limited,Yes,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
129,Britannia Biscuits,Flour,Coca-Cola,Confectionery,"Milk, Sugar, Culture",Additive,No,None,Moderate Intake,Limited,Yes,Yes,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
130,Coca-Cola Classic,Flour,Nestle,Dairy Products,"Potatoes, Vegetable Oil, Salt",Additive,Yes,Allergen Content,100g per day,Yes,Limited,No,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
131,Coca-Cola Classic,Potatoes,Nestle,Beverages,"Carbonated Water, Sugar",Protein,No,High Sodium,As Desired,Limited,No,Yes,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
132,Coca-Cola Classic,Milk,Haldiram's,Confectionery,"Potatoes, Vegetable Oil, Salt",Protein,No,Allergen Content,200g per day,Yes,Yes,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
133,Lay's Chips,Milk Chocolate,Britannia,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,Chemical Additives,Moderate Intake,Yes,Limited,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
134,Coca-Cola Classic,Milk Chocolate,Lay's,Dairy Products,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Allergen Content,As Desired,Yes (Occasional),No,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
135,Lay's Chips,Milk,Britannia,Frozen Foods,"Carbonated Water, Sugar",Fat,No,Chemical Additives,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,2,2,USA,7 days from packing
136,Lay's Chips,Milk Chocolate,Britannia,Beverages,"Potatoes, Vegetable Oil, Salt",Additive,No,High Sodium,Moderate Intake,Limited,Limited,Limited,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
137,McCain French Fries,Milk,Amul,Snacks,"Carbonated Water, Sugar",Sweetener,No,Chemical Additives,Moderate Intake,No,Yes,Yes,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,2,India,14 days from packing
138,Epigamia Greek Yogurt,Milk,Lay's,Confectionery,"Potatoes, Oil, Salt",Additive,Yes,None,100g per day,Limited,Limited,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
139,Lay's Chips,Carbonated Water,Nestle,Snacks,"Milk, Sugar, Culture",Additive,Yes,None,Moderate Intake,No,No,Yes (Occasional),Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,USA,14 days from packing
140,Cadbury Dairy Milk,Carbonated Water,Coca-Cola,Confectionery,"Carbonated Water, Sugar",Dairy,No,None,Moderate Intake,Yes,Limited,Yes,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
141,McCain French Fries,Milk,Nestle,Snacks,"Carbonated Water, Sugar",Fat,Yes,Chemical Additives,As Desired,Yes (Occasional),Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
142,Cadbury Dairy Milk,Carbonated Water,Haldiram's,Snacks,"Milk Chocolate, Sugar",Protein,Yes,Chemical Additives,As Desired,No,Yes (Occasional),Yes,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,2,USA,14 days from packing
143,Coca-Cola Classic,Potatoes,Lay's,Snacks,"Potatoes, Oil, Salt",Fat,Yes,None,100g per day,Yes,Yes,Yes (Occasional),High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
144,Coca-Cola Classic,Potatoes,Nestle,Snacks,"Potatoes, Oil, Salt",Protein,Yes,High Sodium,As Desired,No,Limited,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,3,India,7 days from packing
145,Cadbury Dairy Milk,Milk Chocolate,Britannia,Beverages,"Milk Chocolate, Sugar",Sweetener,No,High Sodium,100g per day,Yes,Yes (Occasional),No,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
146,McCain French Fries,Potatoes,Haldiram's,Confectionery,"Potatoes, Vegetable Oil, Salt",Sweetener,No,High Sodium,100g per day,Yes (Occasional),Limited,Yes,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
147,Coca-Cola Classic,Milk,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Protein,Yes,None,As Desired,Yes (Occasional),Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
148,Coca-Cola Classic,Potatoes,Amul,Frozen Foods,"Flour, Butter, Sugar",Dairy,No,Chemical Additives,100g per day,Limited,Yes,Yes (Occasional),High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
149,Epigamia Greek Yogurt,Milk Chocolate,Lay's,Beverages,"Potatoes, Vegetable Oil, Salt",Dairy,No,None,Moderate Intake,Yes,Limited,Limited,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
150,Coca-Cola Classic,Potatoes,Britannia,Frozen Foods,"Milk, Sugar, Culture",Protein,Yes,High Sodium,Moderate Intake,Limited,Yes (Occasional),No,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
151,Epigamia Greek Yogurt,Carbonated Water,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Fat,Yes,Chemical Additives,200g per day,Yes (Occasional),No,Limited,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
152,Coca-Cola Classic,Potatoes,Amul,Dairy Products,"Carbonated Water, Sugar",Protein,No,Allergen Content,Moderate Intake,Yes (Occasional),No,Yes (Occasional),Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
153,Lay's Chips,Potatoes,Lay's,Confectionery,"Milk, Sugar, Culture",Dairy,Yes,Allergen Content,200g per day,Yes,Yes,Yes,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,India,14 days from packing
154,Lay's Chips,Potatoes,Coca-Cola,Confectionery,"Milk, Sugar, Culture",Carbohydrate,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),No,Limited,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
155,Coca-Cola Classic,Potatoes,Britannia,Snacks,"Flour, Butter, Sugar",Sweetener,Yes,High Sodium,Moderate Intake,Yes (Occasional),Yes,No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
156,Lay's Chips,Flour,Nestle,Confectionery,"Potatoes, Oil, Salt",Carbohydrate,Yes,High Sodium,200g per day,Limited,No,Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,Mexico,14 days from packing
157,Britannia Biscuits,Potatoes,Amul,Beverages,"Potatoes, Oil, Salt",Sweetener,Yes,Allergen Content,200g per day,No,Limited,Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
158,Coca-Cola Classic,Flour,Coca-Cola,Snacks,"Flour, Butter, Sugar",Fat,No,Allergen Content,As Desired,Yes,Yes (Occasional),Yes (Occasional),High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,3,India,7 days from packing
159,Epigamia Greek Yogurt,Potatoes,Lay's,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,Yes,Chemical Additives,200g per day,No,Limited,Yes (Occasional),Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
160,Cadbury Dairy Milk,Milk,Lay's,Frozen Foods,"Milk, Sugar, Culture",Sweetener,Yes,None,Moderate Intake,No,Yes,Yes (Occasional),High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,India,5 days from packing
161,McCain French Fries,Carbonated Water,Haldiram's,Beverages,"Potatoes, Oil, Salt",Fat,Yes,Chemical Additives,200g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
162,Lay's Chips,Milk,Coca-Cola,Beverages,"Potatoes, Oil, Salt",Dairy,No,Allergen Content,200g per day,Yes (Occasional),Yes,No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
163,Britannia Biscuits,Carbonated Water,Haldiram's,Snacks,"Potatoes, Vegetable Oil, Salt",Fat,Yes,None,As Desired,Yes,Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
164,Coca-Cola Classic,Potatoes,Britannia,Snacks,"Flour, Butter, Sugar",Additive,No,None,100g per day,No,Yes,Yes,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
165,Lay's Chips,Carbonated Water,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Protein,Yes,High Sodium,As Desired,Yes,Limited,Yes,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,USA,7 days from packing
166,Lay's Chips,Potatoes,Coca-Cola,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Fat,No,High Sodium,200g per day,Limited,Yes (Occasional),No,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
167,Coca-Cola Classic,Carbonated Water,Lay's,Dairy Products,"Carbonated Water, Sugar",Additive,Yes,None,Moderate Intake,Yes,Yes (Occasional),No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
168,Lay's Chips,Potatoes,Amul,Dairy Products,"Milk, Sugar, Culture",Additive,Yes,Chemical Additives,200g per day,Limited,Limited,Yes,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,Australia,5 days from packing
169,Coca-Cola Classic,Carbonated Water,Haldiram's,Confectionery,"Milk Chocolate, Sugar",Dairy,No,Chemical Additives,200g per day,No,Limited,No,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Australia,7 days from packing
170,Cadbury Dairy Milk,Carbonated Water,Amul,Snacks,"Potatoes, Vegetable Oil, Salt",Fat,Yes,High Sodium,As Desired,No,Limited,Limited,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
